,일시,광진구오존,광진구미세먼지,동대문구오존,동대문구미세먼지,성동구오존,성동구미세먼지,중랑구오존,중랑구미세먼지,광진구유동인구,동대문구유동인구,성동구유동인구,중랑구유동인구,강수량,겨울기온,풍속,겨울체감,여름기온,습도,여름체감,가입 수,확진자
0,2018-01-01,0.012,42.0,0.013,46.0,0.009,48.0,0.01,48.0,260642.0,115293.0,139984.0,48026.0,0.0,-4.6,5.8,-7.2,0.0,0.0,0.0,302.0,0.0
1,2018-01-02,0.011,43.0,0.012,43.0,0.009,42.0,0.009,45.0,438460.0,220156.0,357570.0,108960.0,0.0,-4.1,15.1,-9.5,0.0,0.0,0.0,246.0,0.0
2,2018-01-03,0.017,34.0,0.017,37.0,0.014,37.0,0.015,39.0,444544.0,220454.0,369841.0,109928.0,0.0,-6.4,16.9,-12.7,0.0,0.0,0.0,205.0,0.0
3,2018-01-04,0.014,44.0,0.01,48.0,0.008,46.0,0.011,52.0,446740.0,221875.0,370107.0,110707.0,0.0,-7.7,14.4,-13.8,0.0,0.0,0.0,169.0,0.0
4,2018-01-05,0.008,64.0,0.009,65.0,0.006,59.0,0.006,67.0,478999.0,239216.0,384134.0,113957.0,0.0,-5.5,7.9,-9.2,0.0,0.0,0.0,183.0,0.0
5,2018-01-06,0.009,54.0,0.016,50.0,0.011,46.0,0.009,53.0,403019.0,201312.0,251037.0,83697.0,0.0,-6.0,7.2,-9.5,0.0,0.0,0.0,192.0,0.0
6,2018-01-07,0.005,56.0,0.005,58.0,0.004,56.0,0.005,55.0,291662.0,144430.0,174433.0,60158.0,0.0,-5.6,7.6,-9.2,0.0,0.0,0.0,253.0,0.0
7,2018-01-08,0.008,63.0,0.007,59.0,0.006,57.0,0.006,56.0,440725.0,227888.0,364747.0,112830.0,0.9,-0.9,24.5,-7.0,0.0,0.0,0.0,186.0,0.0
8,2018-01-09,0.023,40.0,0.021,45.0,0.017,43.0,0.02,45.0,442029.0,218673.0,371615.0,111863.0,0.5,-6.0,19.4,-12.7,0.0,0.0,0.0,147.0,0.0
9,2018-01-10,0.022,32.0,0.023,37.0,0.017,36.0,0.02,41.0,452766.0,214744.0,373292.0,112090.0,0.3,-10.2,18.4,-17.8,0.0,0.0,0.0,93.0,0.0
10,2018-01-11,0.02,33.0,0.02,37.0,0.015,34.0,0.018,37.0,426164.0,202008.0,359781.0,106477.0,0.0,-13.0,14.8,-20.4,0.0,0.0,0.0,76.0,0.0
11,2018-01-12,0.016,24.0,0.019,26.0,0.013,25.0,0.012,29.0,446283.0,207743.0,360026.0,105997.0,0.0,-15.0,13.3,-22.4,0.0,0.0,0.0,79.0,0.0
12,2018-01-13,0.004,55.0,0.003,61.0,0.003,52.0,0.003,54.0,400798.0,198583.0,252838.0,83979.0,0.4,-6.4,8.6,-10.5,0.0,0.0,0.0,89.0,0.0
13,2018-01-14,0.011,74.0,0.007,76.0,0.007,66.0,0.011,72.0,306175.0,150114.0,187500.0,61928.0,0.0,-3.9,10.1,-8.0,0.0,0.0,0.0,235.0,0.0
14,2018-01-15,0.01,73.0,0.009,79.0,0.006,72.0,0.009,73.0,444831.0,230283.0,367022.0,111897.0,0.2,1.8,5.4,0.3,0.0,0.0,0.0,195.0,0.0
15,2018-01-16,0.007,109.0,0.004,124.0,0.003,109.0,0.005,116.0,442738.0,224630.0,369323.0,111880.0,0.0,1.1,6.5,-0.9,0.0,0.0,0.0,202.0,0.0
16,2018-01-17,0.006,119.0,0.008,125.0,0.004,114.0,0.007,116.0,458262.0,230402.0,379743.0,114196.0,0.0,3.2,11.2,0.2,0.0,0.0,0.0,205.0,0.0
17,2018-01-18,0.016,86.0,0.015,96.0,0.01,89.0,0.013,97.0,455158.0,229618.0,374728.0,112812.0,0.0,0.7,14.8,-3.5,0.0,0.0,0.0,179.0,0.0
18,2018-01-19,0.017,61.0,0.016,65.0,0.011,64.0,0.016,66.0,485332.0,246732.0,385371.0,115457.0,0.0,-2.4,9.0,-5.9,0.0,0.0,0.0,201.0,0.0
19,2018-01-20,0.014,101.0,0.012,110.0,0.01,105.0,0.012,109.0,413869.0,211196.0,262073.0,86764.0,0.0,-0.2,8.3,-3.1,0.0,0.0,0.0,253.0,0.0
20,2018-01-21,0.015,64.0,0.013,65.0,0.009,63.0,0.017,66.0,306988.0,154237.0,179155.0,62735.0,0.0,-3.1,6.5,-5.8,0.0,0.0,0.0,266.0,0.0
21,2018-01-22,0.008,48.0,0.007,53.0,0.005,53.0,0.008,54.0,441439.0,231286.0,365079.0,112464.0,3.3,-5.2,18.7,-11.6,0.0,0.0,0.0,146.0,0.0
22,2018-01-23,0.029,25.0,0.03,28.0,0.021,24.0,0.025,29.0,421891.0,203079.0,359431.0,107917.0,0.0,-14.6,20.5,-23.8,0.0,0.0,0.0,69.0,0.0
23,2018-01-24,0.027,29.0,0.026,29.0,0.023,32.0,0.023,33.0,410222.0,191779.0,345689.0,103549.0,0.0,-16.2,19.8,-25.6,0.0,0.0,0.0,64.0,0.0
24,2018-01-25,0.026,24.0,0.023,21.0,0.021,26.0,0.021,22.0,414092.0,197931.0,350585.0,104742.0,0.0,-16.4,20.5,-26.1,0.0,0.0,0.0,56.0,0.0
